Attendance_ID,Employee_ID,CheckIn,CheckOut
38,198,2023-01-17 13:46:13,2023-01-18 01:46:13
39,80,2023-02-13 04:04:06,2023-02-13 12:04:06
40,123,2023-02-18 23:31:14,2023-02-19 08:31:14
41,132,2023-01-20 11:28:47,2023-01-20 19:28:47
42,182,2023-03-16 21:39:20,2023-03-17 08:39:20
43,5,2023-09-29 03:20:02,2023-09-29 13:20:02
44,199,2023-01-24 23:43:00,2023-01-25 07:43:00
45,143,2023-12-11 05:32:39,2023-12-11 15:32:39
46,22,2023-02-19 19:38:36,2023-02-20 07:38:36
47,39,2023-08-11 09:43:20,2023-08-11 20:43:20
48,190,2023-04-11 09:53:24,2023-04-11 16:53:24
49,190,2023-07-18 18:48:48,2023-07-19 04:48:48
50,156,2023-05-22 05:01:19,2023-05-22 13:01:19
51,49,2023-10-23 07:11:52,2023-10-23 15:11:52
52,173,2023-10-03 20:00:44,2023-10-04 06:00:44
53,82,2023-04-04 10:43:47,2023-04-04 19:43:47
54,121,2023-11-03 22:10:04,2023-11-04 04:10:04
55,56,2023-06-09 06:27:32,2023-06-09 16:27:32
56,88,2023-10-12 13:21:22,2023-10-12 23:21:22
57,74,2023-09-17 13:53:09,2023-09-17 22:53:09
58,113,2023-11-27 07:17:32,2023-11-27 16:17:32
59,131,2023-10-10 02:44:18,2023-10-10 12:44:18
60,127,2023-05-26 09:09:13,2023-05-26 18:09:13
61,34,2023-08-04 03:30:50,2023-08-04 13:30:50
62,57,2023-01-09 08:57:19,2023-01-09 19:57:19
63,144,2023-02-28 15:40:30,2023-02-28 21:40:30
64,122,2023-09-17 18:22:08,2023-09-18 02:22:08
65,69,2023-03-29 04:49:40,2023-03-29 11:49:40
66,39,2023-05-10 15:07:35,2023-05-10 22:07:35
67,191,2023-01-14 02:45:25,2023-01-14 10:45:25
68,64,2023-11-09 12:15:16,2023-11-09 18:15:16
69,194,2023-09-08 12:48:57,2023-09-09 00:48:57
70,13,2023-04-02 12:01:01,2023-04-02 23:01:01
71,1,2023-11-26 05:56:37,2023-11-26 11:56:37
72,171,2023-12-23 20:17:08,2023-12-24 05:17:08
73,18,2023-04-13 13:38:28,2023-04-13 19:38:28
74,27,2023-08-21 23:32:19,2023-08-22 09:32:19
75,120,2023-01-16 09:12:02,2023-01-16 20:12:02
76,127,2023-12-25 14:12:22,2023-12-25 22:12:22
77,107,2023-05-03 16:19:29,2023-05-03 22:19:29
78,150,2023-09-09 21:56:24,2023-09-10 03:56:24
79,93,2023-09-08 11:46:07,2023-09-08 17:46:07
80,1,2023-08-16 11:30:39,2023-08-16 21:30:39
81,189,2023-12-22 04:13:04,2023-12-22 11:13:04
82,68,2023-11-23 21:15:08,2023-11-24 05:15:08
83,189,2023-09-03 00:03:04,2023-09-03 07:03:04
84,197,2023-01-20 04:24:47,2023-01-20 14:24:47
85,11,2023-12-26 22:36:27,2023-12-27 10:36:27
86,4,2023-10-03 04:01:32,2023-10-03 13:01:32
87,112,2023-06-02 04:11:57,2023-06-02 13:11:57
88,114,2023-06-09 15:02:35,2023-06-09 21:02:35
89,200,2023-11-23 16:28:48,2023-11-24 04:28:48
90,166,2023-10-22 06:49:18,2023-10-22 13:49:18
91,5,2023-09-08 21:41:16,2023-09-09 09:41:16
92,52,2023-02-06 06:52:53,2023-02-06 14:52:53
93,79,2023-11-12 19:04:55,2023-11-13 06:04:55
94,112,2023-05-27 07:43:50,2023-05-27 14:43:50
95,79,2023-02-01 13:15:08,2023-02-01 22:15:08
96,49,2023-12-20 18:50:08,2023-12-21 01:50:08
97,147,2023-11-25 22:09:15,2023-11-26 05:09:15
98,182,2023-04-19 23:25:19,2023-04-20 06:25:19
99,74,2023-05-05 09:12:20,2023-05-05 16:12:20
100,26,2023-10-12 12:30:43,2023-10-12 18:30:43
101,179,2023-09-25 20:58:59,2023-09-26 03:58:59
102,63,2023-02-09 21:55:28,2023-02-10 04:55:28
103,159,2023-07-06 10:22:01,2023-07-06 19:22:01
104,6,2023-08-27 04:03:58,2023-08-27 15:03:58
105,16,2023-08-05 15:41:50,2023-08-06 03:41:50
106,125,2023-04-04 04:55:53,2023-04-04 12:55:53
107,145,2023-09-05 23:18:56,2023-09-06 09:18:56
108,20,2023-09-18 00:18:06,2023-09-18 06:18:06
109,5,2023-03-07 04:11:16,2023-03-07 15:11:16
110,20,2023-08-16 13:51:13,2023-08-16 21:51:13
111,153,2023-12-22 13:24:35,2023-12-22 20:24:35
112,158,2023-07-03 22:26:36,2023-07-04 08:26:36
113,166,2023-11-19 15:26:39,2023-11-19 22:26:39
114,53,2023-02-17 11:21:18,2023-02-17 22:21:18
115,20,2023-12-11 08:59:00,2023-12-11 14:59:00
116,146,2023-03-12 13:39:30,2023-03-12 22:39:30
117,34,2023-10-09 11:00:35,2023-10-09 21:00:35
118,97,2023-11-10 18:08:04,2023-11-11 06:08:04
119,103,2023-10-05 01:14:15,2023-10-05 09:14:15
120,119,2023-01-30 13:30:27,2023-01-30 19:30:27
121,176,2023-02-06 16:42:23,2023-02-06 23:42:23
122,51,2023-07-06 23:02:37,2023-07-07 07:02:37
123,58,2023-02-09 01:14:52,2023-02-09 11:14:52
124,78,2023-05-22 06:45:37,2023-05-22 16:45:37
125,148,2023-01-03 00:29:26,2023-01-03 06:29:26
126,39,2023-08-21 16:52:02,2023-08-22 03:52:02
127,48,2023-08-05 04:48:07,2023-08-05 14:48:07
128,113,2023-10-04 14:58:51,2023-10-04 20:58:51
129,2,2023-12-17 14:07:43,2023-12-17 23:07:43
130,1,2023-05-17 15:48:27,2023-05-18 03:48:27
131,44,2023-05-15 01:44:55,2023-05-15 11:44:55
132,74,2023-03-17 18:15:37,2023-03-18 02:15:37
133,82,2023-12-18 03:20:33,2023-12-18 13:20:33
134,111,2023-08-21 03:58:39,2023-08-21 14:58:39
135,51,2023-06-07 17:05:45,2023-06-08 03:05:45
136,141,2023-11-12 05:04:44,2023-11-12 12:04:44
137,17,2023-03-18 06:18:58,2023-03-18 15:18:58
138,188,2023-02-10 13:58:11,2023-02-10 19:58:11
139,65,2023-01-20 19:09:53,2023-01-21 05:09:53
140,129,2023-10-28 06:14:52,2023-10-28 16:14:52
141,197,2023-06-18 06:39:13,2023-06-18 17:39:13
142,125,2023-07-04 13:12:55,2023-07-04 20:12:55
143,91,2023-09-10 20:38:51,2023-09-11 03:38:51
144,69,2023-09-22 19:44:09,2023-09-23 04:44:09
145,20,2023-01-15 18:21:34,2023-01-16 04:21:34
146,109,2023-10-26 10:04:49,2023-10-26 18:04:49
147,12,2023-06-16 02:23:01,2023-06-16 10:23:01
148,57,2023-02-22 21:45:09,2023-02-23 09:45:09
149,193,2023-06-26 16:19:40,2023-06-27 03:19:40
150,41,2023-03-18 16:20:24,2023-03-19 01:20:24
151,52,2023-11-21 16:36:11,2023-11-21 23:36:11
152,48,2023-06-19 17:34:03,2023-06-20 03:34:03
153,169,2023-12-21 08:41:25,2023-12-21 20:41:25
154,129,2023-11-11 15:05:42,2023-11-12 01:05:42
155,106,2023-11-19 06:50:01,2023-11-19 16:50:01
156,193,2023-12-29 10:39:28,2023-12-29 21:39:28
157,122,2023-02-05 07:00:41,2023-02-05 14:00:41
158,169,2023-07-19 18:38:06,2023-07-20 04:38:06
159,154,2023-08-06 05:38:10,2023-08-06 12:38:10
160,55,2023-08-02 23:20:39,2023-08-03 07:20:39
161,155,2023-09-04 04:43:13,2023-09-04 14:43:13
162,2,2023-06-12 11:13:13,2023-06-12 21:13:13
163,61,2023-12-14 05:41:05,2023-12-14 13:41:05
164,172,2023-06-28 03:29:04,2023-06-28 13:29:04
165,102,2023-06-25 03:41:42,2023-06-25 12:41:42
166,175,2023-04-18 11:40:28,2023-04-18 17:40:28
167,100,2023-04-08 01:51:16,2023-04-08 10:51:16
168,82,2023-04-21 17:38:48,2023-04-22 00:38:48
169,50,2023-05-21 08:49:44,2023-05-21 19:49:44
170,46,2023-08-08 16:37:32,2023-08-09 03:37:32
171,86,2023-06-18 13:23:42,2023-06-18 20:23:42
172,109,2023-04-05 04:30:35,2023-04-05 15:30:35
173,79,2023-06-10 08:55:22,2023-06-10 14:55:22
174,191,2023-10-28 11:14:35,2023-10-28 21:14:35
175,173,2023-06-30 07:51:50,2023-06-30 14:51:50
176,108,2023-04-27 05:24:25,2023-04-27 16:24:25
177,114,2023-10-03 20:48:30,2023-10-04 08:48:30
178,96,2023-06-09 23:28:07,2023-06-10 07:28:07
179,156,2023-04-21 17:10:42,2023-04-22 01:10:42
180,124,2023-09-24 09:58:33,2023-09-24 16:58:33
181,157,2023-07-26 23:08:27,2023-07-27 05:08:27
182,1,2023-12-21 00:39:10,2023-12-21 08:39:10
183,110,2023-06-28 09:11:50,2023-06-28 17:11:50
184,18,2023-08-17 07:38:45,2023-08-17 13:38:45
185,48,2023-07-04 06:27:29,2023-07-04 18:27:29
186,103,2023-06-24 11:59:29,2023-06-24 20:59:29
187,53,2023-08-06 13:38:44,2023-08-06 23:38:44
188,174,2023-10-11 08:42:21,2023-10-11 16:42:21
189,17,2023-05-15 11:02:10,2023-05-15 23:02:10
190,36,2023-07-03 16:33:32,2023-07-04 00:33:32
191,195,2023-09-23 00:00:01,2023-09-23 10:00:01
192,31,2023-02-17 22:36:39,2023-02-18 07:36:39
193,88,2023-12-28 12:16:13,2023-12-29 00:16:13
194,131,2023-11-05 06:29:55,2023-11-05 18:29:55
195,143,2023-09-29 19:04:00,2023-09-30 05:04:00
196,97,2023-12-24 10:06:26,2023-12-24 17:06:26
197,15,2023-02-05 12:34:20,2023-02-05 21:34:20
198,33,2023-08-25 11:23:56,2023-08-25 19:23:56
199,120,2023-10-25 15:15:54,2023-10-25 23:15:54
200,71,2023-06-20 23:58:38,2023-06-21 07:58:38
201,47,2023-11-12 02:19:45,2023-11-12 09:19:45
202,85,2023-10-21 17:06:13,2023-10-21 23:06:13
203,106,2023-06-30 17:03:58,2023-06-30 23:03:58
204,150,2023-11-21 20:05:20,2023-11-22 07:05:20
205,62,2023-10-26 22:58:15,2023-10-27 09:58:15
206,143,2023-06-17 10:32:57,2023-06-17 22:32:57
207,128,2023-12-18 23:58:34,2023-12-19 09:58:34
208,141,2023-08-05 00:49:28,2023-08-05 07:49:28
209,11,2023-06-14 02:30:39,2023-06-14 08:30:39
210,145,2023-11-18 01:35:27,2023-11-18 08:35:27
211,177,2023-06-03 08:21:15,2023-06-03 15:21:15
212,191,2023-06-14 10:45:51,2023-06-14 20:45:51
213,110,2023-09-01 07:58:04,2023-09-01 14:58:04
214,199,2023-07-24 08:03:44,2023-07-24 18:03:44
215,99,2023-06-13 20:54:07,2023-06-14 03:54:07
216,83,2023-06-17 06:51:33,2023-06-17 17:51:33
217,112,2023-12-07 21:22:44,2023-12-08 06:22:44
218,157,2023-09-10 05:16:34,2023-09-10 11:16:34
219,120,2023-07-21 17:37:42,2023-07-22 01:37:42
220,15,2023-09-16 05:18:56,2023-09-16 17:18:56
221,162,2023-03-24 08:25:45,2023-03-24 17:25:45
222,9,2023-05-28 17:05:47,2023-05-29 05:05:47
223,198,2023-12-16 00:13:42,2023-12-16 08:13:42
224,49,2023-08-10 08:35:25,2023-08-10 14:35:25
225,51,2023-01-12 06:55:09,2023-01-12 17:55:09
226,148,2023-05-22 15:45:22,2023-05-22 21:45:22
227,107,2023-01-09 04:33:59,2023-01-09 11:33:59
228,4,2023-01-08 10:12:20,2023-01-08 22:12:20
229,3,2023-12-24 04:04:02,2023-12-24 13:04:02
230,44,2023-12-31 07:25:12,2023-12-31 15:25:12
231,117,2023-01-01 16:55:59,2023-01-01 22:55:59
232,136,2023-11-13 09:01:18,2023-11-13 21:01:18
233,198,2023-10-25 11:20:05,2023-10-25 20:20:05
234,136,2023-08-14 23:34:41,2023-08-15 10:34:41
235,96,2023-02-10 06:47:09,2023-02-10 13:47:09
236,119,2023-04-09 18:10:27,2023-04-10 05:10:27
237,61,2023-05-16 04:46:06,2023-05-16 14:46:06
238,83,2023-01-11 16:23:22,2023-01-12 01:23:22
239,74,2023-07-15 21:02:06,2023-07-16 09:02:06
240,67,2023-06-07 10:36:50,2023-06-07 19:36:50
241,168,2023-09-16 06:52:21,2023-09-16 16:52:21
242,200,2023-10-19 01:02:24,2023-10-19 08:02:24
243,79,2023-09-25 21:55:00,2023-09-26 08:55:00
244,162,2023-02-08 04:46:18,2023-02-08 10:46:18
245,197,2023-10-10 06:35:39,2023-10-10 17:35:39
246,57,2023-05-06 15:42:48,2023-05-07 02:42:48
247,199,2023-11-22 21:50:37,2023-11-23 06:50:37
248,85,2023-12-08 09:01:35,2023-12-08 17:01:35
249,19,2023-09-26 17:17:31,2023-09-27 03:17:31
250,189,2023-11-24 00:47:45,2023-11-24 10:47:45
251,46,2023-10-15 11:10:25,2023-10-15 17:10:25
252,122,2023-04-23 03:41:40,2023-04-23 10:41:40
253,3,2023-07-30 05:39:47,2023-07-30 14:39:47
254,1,2023-02-25 19:36:49,2023-02-26 04:36:49
255,2,2023-01-01 00:07:58,2023-01-01 06:07:58
256,97,2023-10-29 13:38:45,2023-10-29 21:38:45
257,72,2023-12-04 12:30:35,2023-12-04 19:30:35
258,184,2023-11-10 19:07:37,2023-11-11 01:07:37
259,115,2023-02-04 01:00:42,2023-02-04 10:00:42
260,34,2023-03-24 08:43:33,2023-03-24 16:43:33
261,36,2023-10-25 05:16:59,2023-10-25 17:16:59
262,131,2023-05-09 22:51:00,2023-05-10 08:51:00
263,48,2023-11-10 14:48:44,2023-11-10 23:48:44
264,198,2023-02-18 10:50:55,2023-02-18 18:50:55
265,192,2023-01-24 21:14:36,2023-01-25 03:14:36
266,60,2023-05-24 09:09:22,2023-05-24 16:09:22
267,187,2023-04-28 05:44:24,2023-04-28 15:44:24
268,7,2023-09-03 08:59:07,2023-09-03 15:59:07
269,179,2023-09-19 20:43:46,2023-09-20 04:43:46
270,18,2023-06-22 20:26:27,2023-06-23 06:26:27
271,22,2023-06-18 22:35:13,2023-06-19 07:35:13
272,117,2023-08-03 00:22:15,2023-08-03 10:22:15
273,161,2023-07-30 20:01:31,2023-07-31 07:01:31
274,136,2023-09-20 19:24:57,2023-09-21 04:24:57
275,122,2023-10-18 12:38:46,2023-10-19 00:38:46
276,8,2023-11-03 16:00:52,2023-11-04 00:00:52
277,155,2023-02-27 19:49:12,2023-02-28 01:49:12
278,190,2023-05-12 06:30:59,2023-05-12 15:30:59
279,192,2023-10-05 14:13:26,2023-10-06 02:13:26
280,199,2023-02-01 18:32:03,2023-02-02 06:32:03
281,122,2023-09-30 09:06:24,2023-09-30 19:06:24
282,57,2023-07-09 18:56:28,2023-07-10 01:56:28
283,71,2023-07-08 09:56:50,2023-07-08 16:56:50
284,195,2023-03-11 23:59:48,2023-03-12 09:59:48
285,65,2023-11-02 11:18:52,2023-11-02 21:18:52
286,161,2023-08-21 06:12:51,2023-08-21 12:12:51
287,128,2023-09-24 07:04:17,2023-09-24 15:04:17
288,103,2023-02-23 06:56:19,2023-02-23 17:56:19
289,66,2023-06-14 05:58:34,2023-06-14 16:58:34
290,64,2023-12-11 18:44:05,2023-12-12 06:44:05
291,33,2023-06-19 06:00:47,2023-06-19 12:00:47
292,123,2023-03-17 21:25:45,2023-03-18 05:25:45
293,134,2023-02-01 18:29:20,2023-02-02 03:29:20
294,121,2023-07-07 07:03:57,2023-07-07 13:03:57
295,51,2023-09-04 04:52:17,2023-09-04 13:52:17
296,35,2023-03-29 12:54:13,2023-03-29 18:54:13
297,80,2023-07-03 21:45:30,2023-07-04 07:45:30
298,57,2023-12-26 17:21:04,2023-12-27 02:21:04
299,125,2023-11-28 12:16:34,2023-11-29 00:16:34
300,23,2023-12-16 15:16:00,2023-12-17 00:16:00
301,41,2023-09-08 10:49:12,2023-09-08 18:49:12
302,141,2023-06-08 15:12:02,2023-06-08 22:12:02
303,57,2023-08-10 20:40:34,2023-08-11 03:40:34
304,157,2023-01-20 21:43:05,2023-01-21 03:43:05
305,126,2023-08-30 14:18:59,2023-08-30 21:18:59
306,121,2023-06-11 06:42:49,2023-06-11 12:42:49
307,20,2023-03-04 07:18:12,2023-03-04 15:18:12
308,55,2023-01-05 07:55:42,2023-01-05 16:55:42
309,78,2023-09-02 11:15:48,2023-09-02 17:15:48
310,44,2023-01-22 16:52:51,2023-01-23 00:52:51
311,114,2023-04-21 19:30:08,2023-04-22 04:30:08
312,35,2023-07-07 22:42:35,2023-07-08 04:42:35
313,11,2023-03-06 01:24:32,2023-03-06 10:24:32
314,98,2023-08-10 09:10:57,2023-08-10 18:10:57
315,195,2023-12-18 23:24:19,2023-12-19 10:24:19
316,46,2023-07-24 04:57:51,2023-07-24 15:57:51
317,114,2023-10-20 03:54:14,2023-10-20 10:54:14
318,187,2023-03-26 07:17:14,2023-03-26 16:17:14
319,143,2023-12-12 14:29:40,2023-12-12 22:29:40
320,84,2023-01-19 01:11:58,2023-01-19 09:11:58
321,141,2023-10-14 23:21:05,2023-10-15 09:21:05
322,132,2023-10-17 08:11:08,2023-10-17 16:11:08
323,43,2023-09-18 14:17:15,2023-09-18 22:17:15
324,155,2023-09-03 15:41:45,2023-09-04 02:41:45
325,199,2023-06-13 10:07:49,2023-06-13 21:07:49
326,134,2023-02-11 19:38:38,2023-02-12 06:38:38
327,97,2023-11-06 18:45:21,2023-11-07 02:45:21
328,149,2023-12-26 10:30:05,2023-12-26 21:30:05
329,84,2023-02-27 11:20:36,2023-02-27 21:20:36
330,70,2023-05-26 15:41:11,2023-05-26 22:41:11
331,120,2023-05-18 22:38:39,2023-05-19 05:38:39
332,37,2023-11-05 06:58:05,2023-11-05 14:58:05
333,28,2023-04-10 15:11:33,2023-04-10 22:11:33
334,54,2023-05-28 02:20:23,2023-05-28 10:20:23
335,14,2023-11-28 14:44:08,2023-11-28 22:44:08
336,122,2023-12-03 13:49:45,2023-12-03 20:49:45
337,33,2023-01-16 14:59:17,2023-01-16 23:59:17
338,131,2023-06-15 19:57:58,2023-06-16 07:57:58
339,184,2023-11-29 09:05:04,2023-11-29 19:05:04
340,148,2023-02-17 07:06:50,2023-02-17 19:06:50
341,51,2023-05-25 20:28:07,2023-05-26 06:28:07
342,200,2023-02-01 15:44:29,2023-02-01 22:44:29
343,166,2023-04-05 12:15:26,2023-04-06 00:15:26
344,100,2023-05-12 07:58:54,2023-05-12 13:58:54
345,66,2023-08-06 07:05:03,2023-08-06 15:05:03
346,28,2023-02-21 21:46:31,2023-02-22 06:46:31
347,154,2023-05-26 06:28:54,2023-05-26 14:28:54
348,116,2023-03-05 18:22:48,2023-03-06 02:22:48
349,129,2023-02-28 01:43:46,2023-02-28 09:43:46
350,126,2023-05-06 08:34:13,2023-05-06 16:34:13
351,12,2023-02-19 11:25:11,2023-02-19 23:25:11
352,21,2023-05-14 01:03:11,2023-05-14 08:03:11
353,18,2023-05-22 04:19:22,2023-05-22 11:19:22
354,25,2023-02-17 23:06:44,2023-02-18 07:06:44
355,156,2023-02-20 00:23:45,2023-02-20 10:23:45
356,198,2023-08-06 03:50:01,2023-08-06 09:50:01
357,107,2023-12-28 06:12:26,2023-12-28 12:12:26
358,134,2023-05-24 17:35:58,2023-05-25 01:35:58
359,71,2023-08-25 01:37:11,2023-08-25 10:37:11
360,190,2023-02-18 21:52:28,2023-02-19 07:52:28
361,118,2023-04-28 19:23:12,2023-04-29 01:23:12
362,199,2023-06-06 12:23:57,2023-06-06 21:23:57
363,40,2023-12-05 04:58:37,2023-12-05 16:58:37
364,89,2023-06-06 17:02:58,2023-06-07 00:02:58
365,186,2023-02-07 01:55:26,2023-02-07 13:55:26
366,29,2023-11-19 22:41:51,2023-11-20 05:41:51
367,63,2023-10-31 03:14:46,2023-10-31 12:14:46
368,180,2023-10-15 18:21:02,2023-10-16 01:21:02
369,185,2023-09-08 12:52:57,2023-09-09 00:52:57
370,4,2023-09-07 21:31:49,2023-09-08 04:31:49
371,110,2023-12-22 20:23:30,2023-12-23 04:23:30
372,57,2023-04-08 02:14:14,2023-04-08 09:14:14
373,38,2023-08-25 05:17:05,2023-08-25 17:17:05
374,35,2023-03-17 03:53:08,2023-03-17 15:53:08
375,145,2023-12-05 16:40:03,2023-12-06 01:40:03
376,55,2023-12-27 13:07:42,2023-12-28 00:07:42
377,84,2023-10-31 18:57:04,2023-11-01 01:57:04
378,65,2023-12-14 11:15:47,2023-12-14 21:15:47
379,172,2023-08-03 12:34:51,2023-08-03 21:34:51
380,62,2023-03-14 10:12:10,2023-03-14 17:12:10
381,57,2023-03-16 08:04:22,2023-03-16 15:04:22
382,168,2023-11-05 20:39:38,2023-11-06 04:39:38
383,135,2023-02-07 22:03:33,2023-02-08 09:03:33
384,147,2023-07-17 05:16:32,2023-07-17 15:16:32
385,156,2023-10-24 02:08:45,2023-10-24 10:08:45
386,198,2023-04-21 09:17:47,2023-04-21 15:17:47
387,123,2023-03-03 21:37:00,2023-03-04 05:37:00
388,89,2023-05-01 16:19:58,2023-05-02 04:19:58
389,106,2023-12-24 15:15:13,2023-12-25 03:15:13
390,19,2023-12-26 16:56:53,2023-12-26 23:56:53
391,185,2023-10-13 18:05:55,2023-10-14 03:05:55
392,25,2023-05-15 19:16:02,2023-05-16 07:16:02
393,29,2023-03-07 17:05:30,2023-03-08 02:05:30
394,15,2023-02-18 08:06:03,2023-02-18 18:06:03
395,91,2023-01-09 13:09:35,2023-01-09 21:09:35
396,70,2023-03-31 20:35:50,2023-04-01 08:35:50
397,166,2023-10-01 06:27:32,2023-10-01 17:27:32
398,1,2023-09-20 14:29:19,2023-09-20 23:29:19
399,164,2023-07-20 11:18:08,2023-07-20 18:18:08
400,116,2023-04-28 05:07:30,2023-04-28 17:07:30
401,10,2023-04-29 01:53:35,2023-04-29 13:53:35
402,52,2023-07-01 12:39:21,2023-07-01 23:39:21
403,2,2023-10-09 03:34:28,2023-10-09 13:34:28
404,8,2023-09-07 03:12:45,2023-09-07 09:12:45
405,46,2023-11-10 07:29:41,2023-11-10 13:29:41
406,45,2023-09-10 14:23:37,2023-09-11 01:23:37
407,131,2023-03-08 10:01:46,2023-03-08 21:01:46
408,74,2023-09-17 01:59:30,2023-09-17 13:59:30
409,85,2023-08-13 23:22:09,2023-08-14 11:22:09
410,161,2023-02-14 09:40:38,2023-02-14 21:40:38
411,161,2023-04-29 09:37:13,2023-04-29 18:37:13
412,150,2023-07-16 08:04:00,2023-07-16 18:04:00
413,64,2023-10-27 14:38:16,2023-10-28 00:38:16
414,127,2023-01-04 21:48:51,2023-01-05 07:48:51
415,198,2023-01-29 03:50:01,2023-01-29 15:50:01
416,115,2023-01-19 20:32:05,2023-01-20 02:32:05
417,166,2023-08-20 18:19:49,2023-08-21 01:19:49
418,179,2023-09-13 00:19:45,2023-09-13 10:19:45
419,128,2023-12-26 21:03:50,2023-12-27 09:03:50
420,100,2023-02-14 22:57:42,2023-02-15 10:57:42
421,128,2023-05-20 13:13:09,2023-05-20 22:13:09
422,24,2023-08-23 22:53:25,2023-08-24 04:53:25
423,200,2023-06-22 10:42:03,2023-06-22 18:42:03
424,25,2023-09-06 16:04:09,2023-09-07 03:04:09
425,6,2023-05-24 08:59:57,2023-05-24 20:59:57
426,115,2023-07-15 00:49:11,2023-07-15 11:49:11
427,190,2023-03-03 19:30:11,2023-03-04 02:30:11
428,194,2023-02-25 14:24:50,2023-02-26 00:24:50
429,29,2023-10-01 14:26:09,2023-10-01 20:26:09
430,129,2023-12-16 22:07:55,2023-12-17 10:07:55
431,10,2023-06-26 11:03:33,2023-06-26 19:03:33
432,138,2023-08-08 01:02:32,2023-08-08 09:02:32
433,14,2023-07-14 15:50:43,2023-07-14 21:50:43
434,178,2023-03-27 01:38:09,2023-03-27 11:38:09
435,75,2023-05-10 04:47:39,2023-05-10 16:47:39
436,53,2023-03-10 08:48:31,2023-03-10 15:48:31
437,73,2023-05-05 01:26:09,2023-05-05 10:26:09
438,16,2023-03-12 02:52:31,2023-03-12 10:52:31
439,140,2023-09-11 04:06:00,2023-09-11 14:06:00
440,101,2023-12-31 17:50:21,2023-12-31 23:50:21
441,132,2023-06-20 09:53:47,2023-06-20 18:53:47
442,125,2023-06-09 03:02:01,2023-06-09 13:02:01
443,156,2023-04-21 02:49:07,2023-04-21 08:49:07
444,156,2023-05-04 23:40:14,2023-05-05 09:40:14
445,73,2023-09-14 11:39:14,2023-09-14 23:39:14
446,42,2023-03-10 09:44:46,2023-03-10 19:44:46
447,16,2023-10-10 01:41:34,2023-10-10 13:41:34
448,121,2023-06-05 20:31:06,2023-06-06 07:31:06
449,85,2023-03-12 18:10:56,2023-03-13 05:10:56
450,17,2023-10-24 04:39:28,2023-10-24 14:39:28
451,144,2023-03-30 07:06:32,2023-03-30 19:06:32
452,7,2023-09-26 04:09:02,2023-09-26 14:09:02
453,170,2023-09-27 01:11:22,2023-09-27 07:11:22
454,184,2023-03-29 22:13:15,2023-03-30 06:13:15
455,1,2023-08-08 02:11:14,2023-08-08 09:11:14
456,48,2023-06-03 18:06:46,2023-06-04 00:06:46
457,137,2023-10-19 16:56:06,2023-10-20 00:56:06
458,99,2023-11-27 11:24:35,2023-11-27 20:24:35
459,174,2023-07-28 05:44:10,2023-07-28 12:44:10
460,18,2023-05-07 17:07:34,2023-05-08 01:07:34
461,56,2023-01-27 23:46:38,2023-01-28 05:46:38
462,43,2023-03-21 04:14:38,2023-03-21 12:14:38
463,170,2023-02-24 06:11:23,2023-02-24 16:11:23
464,52,2023-05-16 01:03:06,2023-05-16 13:03:06
